,Name,Level,Highlight,Rating,starting Price
0,Adrian Venti,,I will create a professional stop motion animation for any idea,,"<span class=""text-bold co-grey-1200"">From<!-- --> <span>PKR 43,763</span></span>"
1,Adrian Venti,,I will create a professional stop motion animation for any idea,,"<span class=""text-bold co-grey-1200"">From<!-- --> <span>PKR 43,763</span></span>"
2,Piku Ken,,"I will animate your anime, art, or 2d image to looks like alive",,"<span class=""text-bold co-grey-1200"">From<!-- --> <span>PKR 43,763</span></span>"
3,Piku Ken,,"I will animate your anime, art, or 2d image to looks like alive",,"<span class=""text-bold co-grey-1200"">From<!-- --> <span>PKR 43,763</span></span>"
4,Dante,,I will make lip sync animation with any audio,,"<span class=""text-bold co-grey-1200"">From<!-- --> <span>PKR 43,763</span></span>"
5,Dante,,I will make lip sync animation with any audio,,"<span class=""text-bold co-grey-1200"">From<!-- --> <span>PKR 43,763</span></span>"
6,Psanimax,,I will do 3d modelling and 3d characters animation,,"<span class=""text-bold co-grey-1200"">From<!-- --> <span>PKR 43,763</span></span>"
7,Psanimax,,I will do 3d modelling and 3d characters animation,,"<span class=""text-bold co-grey-1200"">From<!-- --> <span>PKR 43,763</span></span>"
8,Arman,,I will create spine 2d animations,,"<span class=""text-bold co-grey-1200"">From<!-- --> <span>PKR 43,763</span></span>"
9,Arman,,I will create spine 2d animations,,"<span class=""text-bold co-grey-1200"">From<!-- --> <span>PKR 43,763</span></span>"
